
Glossary|Definition|variants
customer|Business Banking Customer|client; company; borrower
CIN|Unique identification number to identify a non-personal profile (i.e. not an individual but an organisation or company). Also known as CIN or BCIN (Business CIN).|"Cust num, Customer Number, Customer Identification Number, BIB Customer ID, BCIN"
Parent CIN|"The lead CIN of the relationship. This will be one of the CINs in the relationship, where the CIN has income/products, is the highest segment within the group, flagged as the parent on Browser Main Menu."|"Parent CIN, Lead CIN"
limit|Overdraft and loans limit.|"product limit, credit limit, limit"
risk_rating|Customer Risk Rating Code known as CRR|crr; credit risk rating; rating; internal rating
risk_review||crr; credit risk review; risk assessment review
Customer Identification Number|Unique identification number to identify a non-personal profile (i.e. not an individual but an organisation or company). Also known as CIN or BCIN (Business CIN).|"Custnum, customer number, CUST_NUM, CIN, Customer identification number, Client number, business cin, business customer number"
Company Name|CMB Business Name/Client Name (of the granula child CIN)/The name customer is registered with the bank|"Business name, busname, Business customer name, Registered business name"
Segment|"The top-level area of CMB (plus GBM, GPB, non-UK CMB) where the CIN is managed from. Based on CIN to RM to Csotcentre > Portunit linkage. Segment definition based on the Bank's hierarchy in agreement with Finance and segment areas."|"Business segment, segment, customer segment"
Sub Segment|"Further granular drill down point out particular are of customer is related to (Eg . Business Specialist, Relationship managed, Business banking direct etc.)"|"Sub_segment, sub segment"
Owning Bank|"The bank that legally owns and is responsible for a particular customer, account, product, relationship, or transaction
It helps to identify the which split of the bank the customer belongs to (RFB/NRFB/HINV/CIIOM/RBW/GPB)"|"Split of the bank, Bank split, owning institution"
Current a/c segment (archive_customer)|"Current account segment. This is the tariff of the CINs' ""primary"" account. In most instances a customers' ""primary"" account is a current account, but occasionally it might be another type of product e.g. savings., Cards, loans etc. This is a marker used to derive the customer status (Open or Close)"|Active/inactive status of the customer
Current a/c segment (Caseg table)|Provides detailed description of each of the CASEG status by which definition of customer status (Open/close) can be derived|
SIC Code|"1.The SIC (Standard Industrial Classification) code is a 5-digit code that identifies what a business does. For example SIC code 01120 is the code for the growing of rice. The current SIC codes were issued in 2007 and replaced the older SIC 2003 codes. HSBC introduced SIC 2007 codes from 01/01/2011 in order to comply with Bank of England reporting requirements. 

2.The archive.Customeryymm table will hold the SIC code held on Browser Main Menu at the time the data was cut from SAMS"|Industry code 
SIC Description|"1.The table should be used as a lookup to obtain full text descriptions of the industry classification of each SIC code stored in the SIC field of Archive Customer Table

2.Can be used to support analysis that groups data at an industry level.

3.The FACTORABLE_STATUS field can be used to identify customers in an industry with a propensity for invoice finance.                                                                                                                                                                                                                                 4. industry_desc also known as SECTOR"|"Industry, Industry description"
Legal Status|"This marker consists of a 2-letter code that denotes the customer type, sometimes (incorrectly) referred to as legal status. "|
Legal Status Description|"This table would provide details of legal status of each customer and can be grouped into key types such as PLC,SOLE TRADER ,LIMITED etc."|Business type
Sortcode|Branch of Domicile Sort_code - N.B. this is NOT the sort_code of the RM|"Sortcode, Sort_code, Branch code"
Tenure|"Number of months that the business has been loaded on to Browser (Months since  Cust_From). Please note that any prospects counted will start from the time they become a prospect, not when they become a customer."|"Customer from (in months), Months with HSBC, Time with bank (in months)"
Business Start Month|Number of months since the business commenced/was incorporated |"Start month of Business, Business Start Date"
Customer Post Code|Customer's business address postcode as displayed on Browser Main Menu. This may not be the same as the postcode of any correspondence addresses.|"Postcode, Post_code, Postal code"
Behaviour Score of Customer|"A form of credit risk rating for portfolio managed customers. Generally a high score equals low risk and a low score equals high risk, with the following exceptions:
Behavioural Score sourced from SAMS
0 = Customer for 1 month
1 = Customer for >1 month but no score calculated yet
4 = Debit Dormant
5 = Complex Customers
30 = Categorised Lending"|"Behaviour score, Behave score of the customer, customer rating"
Relationship Manager Staff Number (In Cuatomer table)|Relationship managers staff number. Portfolio managed customers will have a generic rmstaffno.|"RM_staffno, Relationship manager no, Relationship Mamanger id, RM ID"
Relationship Manager Staff Number (in RMS table)|Relationship managers staff number. Portfolio managed customers will have a generic rmstaffno.|
RM NAME|Surname and initials of relationship Manager.|"RM_staffname, Relationship manager name, Relationship Mamanger name, RM name"
RM REGION|"It represents the region the RM is attached to.

Offshore centres are given a region of 'OFFSHORE REGION'. A region of 'OTHER' is used for non-CMB centres."|"RM region, Rletionship Manager Region, RM territory, Manager region, RM assigned region"
RM Department /Area|The department that the RM belongs to. An Area is made up of a number of departments. |"RM department, RM division, Relationship Manager department, RM business unit"
RM Grade/GCB|Grade/band of employee derived from GRDE_CDE and GROUP_GRDE_CDE fields within UKDWH.DWH_EMPLY|"RM grade, Relationship Manager grade, RM level, RM rank, Manager grade, Client Manager grade"
RM Job Title|Provides a text description of the RM's job title.|"RM title, RM designation, Relationship Manager designation, Manager designation"
RM COST Center|"This is the cost centre that the relationship manager reports in to, which in most cases will not be the same as the branch sort_code (see Archive_Customer sort_code entry). Portfolio managed customers will have a generic portunit."|"RM Cost Center, Relationship Manager Cost Center, RM expense Center, RM department cost center, RM cost Center Code"
Parent CIN (Archive_Custromer)|"The lead CIN of the relationship. This will be one of the CINs in the relationship, where the CIN has income/products, is the highest segment within the group, flagged as the parent on Browser Main Menu."|"Parent Customer Number, Parent Customer ID, Parent client number, PARENT CIN, Primary Customer ID"
Parent CIN (Archive_Custromer)|"The lead CIN of the relationship. This will be one of the CINs in the relationship, where the CIN has income/products, is the highest segment within the group, flagged as the parent on Browser Main Menu."|"Parent Customer Number, Parent Customer ID, Parent client number, PARENT CIN, Primary Customer ID"
Parent CIN Segment|"Relationship level segment - segment of lead CIN, with corporate customers split between HORIS and non-HORIS."|"Parent CIN segment, Parent client Segment, Parent account segment, Parent client category"
UK Relationship/Group Level Turnover|"Group turnover value (�) created from complex rules selecting ""best"" turnover for this relationship. Sources of turnover include D&B (actual & Derived), SAMS, and charges turnover."|"Group level Turnover, Consolidated revenue, Aggregated revenue, Group sales, Overall Turnover"
Charges Turnover Rolling 12 Month (Child CIN Level)|"12 month rolling charges turnover for customer's current accounts. This is the amount of money going out of the current account, excluding internal transfers."|"Account Last 12 month charges,Account 12 month charges, Account Charges Turnover for last 12 month"
